file,record,offset,type,speaker,node,tokens,bytes_used,max_bytes,chinese,english
game1.msg,0,0x00000031,mixed,65,0,,40,236,起床啦！快來吃早飯！,Wake up! Come and eat breakfast.
game1.msg,1,0x0000012E,mixed,1,3,,47,236,這樣的飯菜已經吃好久了！,We have been eating food like this for so long.
game1.msg,2,0x0000022B,placeholder,65,4,Ａ,92,236,Ａ，不要有所抱怨，付錢給我的地主富豪，不會在乎我們如何填飽肚子！,"Ａ, do not complain. The landlords who pay my wages could not care less how we eat."
game1.msg,3,0x00000328,mixed,1,0,,96,236,我不該抱怨的！我早已知道這一生注定不會榮華富貴！,I should not complain. I always knew this life was never meant for wealth or glory.
game1.msg,4,0x00000425,mixed,65,6,,189,236,我不知道該如何回答‧‧聽媽媽的話，好好的做人比什麼都重要！我等一下要到德佳古鎮，看看有沒有合適的工作，聽說那裡的有錢人比較和善‧‧,I do not know how to answer... Listen to your mother. Being decent matters more than anything. I am off to Dejia Old Town to look for work. They say the rich there are kinder...
game1.msg,5,0x00000522,mixed,1,7,,142,236,算了吧！天下的烏鴉一般黑！那些個高貴人士仗著有幾個臭錢就可以不把人當人看，去那還不是都一樣！,Forget it. Crows are black the world over. Those nobles think a few coins let them treat us as less than human. Going there changes nothing.
game1.msg,6,0x0000061F,mixed,65,8,,159,236,‧‧‧做事都吃不飽了，更何況沒做事！你也已經十八歲了，這幾天媽不在家，仔細地想想看未來要做什麼？等我回來再告訴我！,"...We go hungry even in work, let alone without it. You are eighteen now. I will be away some days. Think hard about your future, and tell me when I return."
game1.msg,7,0x0000071C,mixed,1,9,,164,236,我的未來有什麼好想的？反正已經沒的選擇！我只有一個問題‧為什麼我沒有爸爸？為什麼我每次一問起妳就轉過頭去暗自哭泣？這個疑問已經存在十八年了，是不是還要繼續存在著？,What is there to think about? I have no choice. I have one question. Why do I have no father? Why do you turn away and weep when I ask? Must it stand forever?
game1.msg,8,0x00000819,mixed,65,0A,,148,236,你的態度令媽傷心‧‧每個人都可以離開我，每個人都可以傷害我，只有你不行！我對你的愛超過所有的人，勝過千言萬語！為什麼你不相信？,Your tone breaks my heart... Anyone may leave me. Anyone may hurt me. Only you may not. I love you beyond any words. Why will you not believe me?
game1.msg,9,0x00000916,mixed,1,0B,,148,236,媽！我還記得有一天我們走在下著大雨的路上，我又問起同樣的問題，我看見您在流淚，我問您是不是在哭‧‧您笑著說只是雨水‧‧,"Mother, I remember walking the road in the pouring rain. I asked the same question. I saw you crying... You smiled and said it was only the rain..."
game1.msg,10,0x00000A13,mixed,65,0C,,186,236,媽沒哭‧‧現在真的沒哭！人生不可能十全十美，既使有某些缺憾，你也要視若無睹，還有，不要憤世忌俗，一個人的成功都是靠運氣，羨慕運氣好的人不是很愚蠢嗎？,"I was not crying... I am truly not crying now. No life is perfect. Where it falls short, look past it. Do not turn bitter. Success is only luck. Is it foolish to envy the lucky?"
game1.msg,11,0x00000B10,mixed,1,0D,,168,236,我有運氣也一樣不能成功的！不是嗎？為什麼人從哇哇墜地的那一刻就已決定了命運？為什麼我不能走我自己的路？為什麼我們的付出永遠看不到收穫？,Even with luck I would get nowhere. Why is a life decided the moment we are born? Why can I not walk my own road? Why do we never see a harvest from what we give?
game1.msg,12,0x00000C0D,mixed,65,0E,,191,236,你為什麼會有這麼多個為什麼？你想的事情已經超過你的年紀，吃飯的時後就吃飯，去溪邊釣魚就釣魚，不要想太多！我也該走了，拜託你把自己照顧的好好的，不要讓媽擔心，答應我！,"Where do all these questions come from? You think beyond your years. When it is time to eat, eat. Do not think so much. I must go. Take care, and do not make me worry. Promise me."
game1.msg,13,0x00000D0A,mixed,1,0F,,42,236,我知道！媽您也要照顧好自己！,"I know. Look after yourself too, mother."
game1.msg,14,0x00000E07,placeholder,65,0,Ａ,27,236,Ａ，我也答應你！,"Ａ, I promise you the same."
game1.msg,15,0x00000F04,mixed,1,0,,76,236,嘿！嘿！我自由了！我要去孟郡城玩一玩，好主意！,Hey! Hey! I am free! I will go and have some fun in Mengjun City. Good idea!
game1.msg,16,0x00001001,mixed,1,0,,19,236,又是一個無聊的一天！,Another boring day.
game10.msg,0,0x00000031,placeholder,0,2,Ａ,54,236,Ａ，你的臉色好像不太好噢！媽媽不在家自己要照顧好自己！,"Ａ, you do not look well. With your mother away you have to take care of yourself."
game10.msg,1,0x0000012E,dialogue,1,0,,16,236,謝謝大嬸的關心。,"Thank you for worrying about me, ma'am."
