kind,offset,ds,index,max_bytes,chinese,english
ui,0x089CCC,0x002CC,,3,否,No
ui,0x089CD0,0x002D0,,3,是,Yes
ui,0x089CD4,0x002D4,,19,是否離開DEMO程式？,Quit the demo?
ui,0x089DF8,0x003F8,,15,請輸入作弊代碼,Cheat code:
ui,0x089E24,0x00424,,7,取得%s,Got %s
ui,0x089E2C,0x0042C,,7,血全滿,Max HP
ui,0x089E34,0x00434,,11,取得鑰匙,Got keys
ui,0x089E40,0x00440,,19,得金錢１００００,Got 10000 gold
ui,0x089E54,0x00454,,11,系統重置,Reset
ui,0x089E60,0x00460,,11,全體復活,Revive
ui,0x089E6C,0x0046C,,15,寫入系統檢查,Sys check
ui,0x089E7C,0x0047C,,15,取得系統物件,Get objects
ui,0x089E8C,0x0048C,,15,開啟一擊必殺,One-hit: ON
ui,0x089E9C,0x0049C,,15,關閉一擊必殺,One-hit: OFF
ui,0x089EAC,0x004AC,,15,關閉遊戲怪物,Monsters OFF
ui,0x089EBC,0x004BC,,15,開啟遊戲怪物,Monsters ON
ui,0x089ECC,0x004CC,,7,開啟,ON
ui,0x089ED4,0x004D4,,7,關閉,OFF
ui,0x089EDC,0x004DC,,11,%s強力裝甲,%s armor up
ui,0x089EE8,0x004E8,,11,請輸入姓名,Enter name
ui,0x089EF4,0x004F4,,7,繼續,Retype
ui,0x089EFC,0x004FC,,7,確定,OK
ui,0x089F04,0x00504,,23,是否確定使用預設姓名？,Use the default name?
ui,0x089F1C,0x0051C,,23,是否確定使用新姓名？,Use this new name?
ui,0x08A010,0x00610,,7,使用%s,Use %s
ui,0x08A198,0x00798,,7,學會%s,Got %s
ui,0x08A1A0,0x007A0,,7,%s升級,%s up!
ui,0x08A1A8,0x007A8,,15,%s對%s使用%s,%s -> %s: %s
ui,0x08A318,0x00918,,19,%s負重量已超出限制,%s is overloaded
ui,0x08A32C,0x0092C,,15,%s身體開始溫熱,%s feels warm
ui,0x08A33C,0x0093C,,15,%s身體不再溫熱,%s cools down
ui,0x08A4F4,0x00AF4,,7,取消,Cancel
ui,0x08A4FC,0x00AFC,,7,啟動,Open
ui,0x08A504,0x00B04,,23,是否啟動遊戲主選單？,Open the main menu?
ui,0x08A51C,0x00B1C,,7,離開,Exit
ui,0x08A524,0x00B24,,19,是否離開遊戲程式？,Quit the game?
ui,0x08A688,0x00C88,,19,%s負重量已超出限制,%s is overloaded
ui,0x08A7B0,0x00DB0,,3,水,WTR
ui,0x08A7B4,0x00DB4,,3,火,FIR
ui,0x08A7B8,0x00DB8,,3,風,WND
ui,0x08A7BC,0x00DBC,,3,地,ERT
ui,0x08A7C0,0x00DC0,,3,技,SK
ui,0x08A7C8,0x00DC8,,11,一般攻擊,ATTACK
ui,0x08A910,0x00F10,,11,重 新 開 始,NEW GAME
ui,0x08A91C,0x00F1C,,11,讀 取 進 度,LOAD GAME
ui,0x08A928,0x00F28,,11,系 統 設 定,SETTINGS
ui,0x08A934,0x00F34,,11,退 出 系 統,  EXIT
ui,0x08A940,0x00F40,,15,系統速度  @@,SPEED   @@
ui,0x08A950,0x00F50,,15,訊息速度  @@,TEXT    @@
ui,0x08A960,0x00F60,,11,音 樂 音 效,  AUDIO
ui,0x08A96C,0x00F6C,,11,背景音樂,MUSIC
ui,0x08A978,0x00F78,,11,系統音效,SOUND
ui,0x08A984,0x00F84,,3,快,F
ui,0x08A988,0x00F88,,3,中,M
ui,0x08A98C,0x00F8C,,3,慢,S
ui,0x08AF40,0x01540,,15,寫入遊戲進度,Saving game...
ui,0x08AFCC,0x015CC,,47,從危機遍佈的禁地深處到一望無際的湛藍天空下！,From the forbidden depths to the open sky --
ui,0x08AFFC,0x015FC,,43,你將尋找隱藏在這個世界的巨大秘密，憑藉自己,"you will seek this world's great secret,"
ui,0x08B028,0x01628,,43,的思考決定命運，依靠自己的雙手開創未來！,shaping fate with your own two hands!
ui,0x08B054,0x01654,,35,～  語出  終極歷程的不朽先知  ～,~  The Immortal Prophet  ~
ui,0x08B1BC,0x017BC,,7,英數,ABC
ui,0x08B1C4,0x017C4,,7,注音,PHO
ui,0x08B244,0x01844,,7,無此字,No char
item,0x08CD68,0x03368,0,19,木劍,Wooden Sword
item,0x08CDBC,0x033BC,1,19,斬鐵劍,Iron Cleaver
item,0x08CE10,0x03410,2,19,長劍,Long Sword
item,0x08CE64,0x03464,3,19,古銅劍,Bronze Sword
item,0x08CEB8,0x034B8,4,19,金砂劍,Goldsand Sword
item,0x08CF0C,0x0350C,5,19,兀鷹劍,Vulture Sword
item,0x08CF60,0x03560,6,19,巨劍,Great Sword
item,0x08CFB4,0x035B4,7,19,象牙劍,Ivory Sword
item,0x08D008,0x03608,8,19,力拔劍,Might Sword
item,0x08D05C,0x0365C,9,19,鴻鵠劍,Swan Sword
item,0x08D0B0,0x036B0,10,19,紫烏劍,Dark Raven Sword
item,0x08D104,0x03704,11,19,蒼天劍,Azure Sky Sword
item,0x08D158,0x03758,12,19,撕裂劍,Rending Sword
item,0x08D1AC,0x037AC,13,19,霸王劍,Overlord Sword
item,0x08D200,0x03800,14,19,龍劍,Dragon Sword
