big5,english,bytes,area
主角的家,Hero's House,12,Mengjun City and the opening area
孟郡城北,Mengjun City North,18,Mengjun City and the opening area
孟郡城西,Mengjun City West,17,Mengjun City and the opening area
孟郡城東,Mengjun City East,17,Mengjun City and the opening area
孟郡城南,Mengjun City South,18,Mengjun City and the opening area
孟郡城郊外,Mengjun Outskirts,17,Mengjun City and the opening area
孟郡森林,Mengjun Forest,14,Mengjun City and the opening area
孟郡王城,Mengjun Palace,14,Mengjun City and the opening area
莉莉的家,Lily's House,12,Mengjun City and the opening area
老婆婆的家,Old Woman's House,17,Mengjun City and the opening area
泰吉拉,Tajira,6,Tajira and the northern woods
泰吉拉北,Tajira North,12,Tajira and the northern woods
泰吉拉南,Tajira South,12,Tajira and the northern woods
泰吉拉郊外,Tajira Outskirts,16,Tajira and the northern woods
西籬溫泉,Xili Hot Spring,15,Tajira and the northern woods
西籬楓林,Xili Maple Woods,16,Tajira and the northern woods
風之林,Wind Forest,11,Tajira and the northern woods
芳心湖北,Lonely Lake North,17,Tajira and the northern woods
幽徑森林,Hidden Path Forest,18,Tajira and the northern woods
石碑幽徑,Stele Path,10,Tajira and the northern woods
神之洞穴,Cave of the God,15,Tajira and the northern woods
殘慟谷,Vale of Grief,13,Vale of Grief / Ravaged Stonelands
殘餘洞,Remnant Cave,12,Vale of Grief / Ravaged Stonelands
殘缺森林,Broken Forest,13,Vale of Grief / Ravaged Stonelands
聖壇,Holy Altar,10,Vale of Grief / Ravaged Stonelands
耗劫石地,Ravaged Stonelands,18,Vale of Grief / Ravaged Stonelands
哈曼奴,Hamanu,6,Hamanu
哈曼奴近郊,Hamanu Outskirts,16,Hamanu
哈曼大旅社,Haman Grand Inn,15,Hamanu
旅社地下室,Inn Basement,12,Hamanu
黑煞森林,Black Curse Forest,18,Hamanu
黑煞沼澤,Black Curse Marsh,17,Hamanu
嘉露城,Jialu City,10,Jialu City
嘉露城近郊,Jialu Outskirts,15,Jialu City
嘉露森林,Jialu Forest,12,Jialu City
嘉露劇院,Jialu Opera House,17,Jialu City
疾靈森林,Wraith Forest,13,Dejia Old Town and the crypt
德佳古,Dejia Old Town,14,Dejia Old Town and the crypt
德佳古東,Dejia East,10,Dejia Old Town and the crypt
針織橋,Needlework Bridge,17,Dejia Old Town and the crypt
碎冥墓穴,Shattered Crypt,15,Dejia Old Town and the crypt
怖懼山洞口,Dread Cavern Mouth,18,Mount Dread
怖懼山洞,Dread Cavern,12,Mount Dread
邪惡祭壇,Evil Altar,10,Mount Dread
石像廟,Statue Temple,13,Mount Dread
蝙蝠洞,Bat Cavern,10,Mount Dread
小木屋,Log Cabin,9,Mount Dread
捷里沙,Jielisha,8,Jielisha and Shiban Harbor
捷里沙近郊,Jielisha Outskirts,18,Jielisha and Shiban Harbor
石斑港,Shiban Harbor,13,Jielisha and Shiban Harbor
石斑港北,Shiban Harbor North,19,Jielisha and Shiban Harbor
石斑港西,Shiban Harbor West,18,Jielisha and Shiban Harbor
廢墟郊外,Ruins Outskirts,15,Ruins
巫士廢墟,Sorcerers' Ruins,16,Ruins
遺跡郊外,Benlong Outskirts,17,Ruins
奔龍遺跡,Benlong Ruins,13,Ruins
蘇格禮,Sugeli,6,Sugeli
蘇格禮郊外,Sugeli Outskirts,16,Sugeli
宣恩城,Xuan'en City,12,Xuan'en City and the frozen north
宣恩城郊外,Xuan'en Outskirts,17,Xuan'en City and the frozen north
冰寒森林,Frozen Forest,13,Xuan'en City and the frozen north
冰寒大廳,Frozen Hall,11,Xuan'en City and the frozen north
炎灼石廟,Blazingstone Temple,19,Endgame
烈風地窖,Windrift Vault,14,Endgame
聖光島,Holy Island,11,Endgame
聖光島入口,Holy Island Entry,17,Endgame
聖光島大廳,Holy Island Hall,16,Endgame
聖光島二樓,Holy Island 2F,14,Endgame
聖光島三樓,Holy Island 3F,14,Endgame
聖光島四樓,Holy Island 4F,14,Endgame
聖光島頂樓,Holy Island Top,15,Endgame
